Model,NearMiss,RandomOverSampler,RandomUnderSampler,SMOTE,SVMSMOTE
DecisionTreeClassifier,99.32761437908496,99.45833333333334,99.43092105263159,99.39297385620915,99.37568870523417
GaussianNB,66.01434056296145,65.2619540820533,65.2619540820533,66.31458566100066,66.31458566100066
KNeighborsClassifier,96.95018987368762,97.11685654035429,97.11685654035429,97.11685654035429,97.45676882105604
LogisticRegression,92.19970746019155,92.0115187549574,92.03304079352489,92.28235208829072,91.66571623212138
SVC,72.54396821436998,72.60932769149417,72.62661284246916,72.67554716173841,72.67554716173841
